x= 0.0983073 y= 0.0292269 yaw= -0.0398903 dt= 0.0355284[8.743,-25.1159|8.77984,-25.1893][9.06542,-25.0025|9.10187,-25.0736][9.9347,-25.004|9.96866,-25.0772][8.74175,-24.894|8.77986,-24.9656][9.81608,-24.4607|9.85994,-24.5355][11.8739,-24.4555|11.9142,-24.534][8.7337,-24.348|8.7757,-24.4221][11.1184,-24.3455|11.1601,-24.4214][9.70518,-24.1316|9.74897,-24.2055][9.16395,-23.9168|9.20597,-23.9895]
x= 0.178621 y= 0.0553841 yaw= -0.0849797 dt= 0.0353339[8.77984,-25.1893|8.79649,-25.2083][9.10187,-25.0736|9.11766,-25.0917][9.96866,-25.0772|9.98419,-25.0954][8.77986,-24.9656|8.79626,-24.9843][9.85994,-24.5355|9.87642,-24.5558][11.9142,-24.534|11.9308,-24.5527][8.7757,-24.4221|8.7931,-24.4403][11.1601,-24.4214|11.1771,-24.4425][9.74897,-24.2055|9.76648,-24.2261][9.20597,-23.9895|9.22403,-24.0105]
x= 0.327881 y= 0.106784 yaw= -0.161724 dt= 0.0349939[9.44256,-25.3111|9.4727,-25.4738][8.79649,-25.2083|8.81344,-25.3579][9.11766,-25.0917|9.1373,-25.244][9.98419,-25.0954|10.0381,-25.3125][8.79626,-24.9843|8.8102,-25.1369][9.87642,-24.5558|9.90715,-24.7105][11.9308,-24.5527|12.0173,-24.7163][8.7931,-24.4403|8.81055,-24.5741][11.1771,-24.4425|11.2454,-24.5982][9.76648,-24.2261|9.79216,-24.3492]
x= 0.409845 y= 0.140481 yaw= -0.23978 dt= 0.0347846[5.3136,-5.83|4.35739,-4.76387][9.4727,-25.4738|9.45228,-25.4144][8.81344,-25.3579|8.78874,-25.2984][12.4832,-25.3837|12.4915,-25.3246][9.1373,-25.244|9.11226,-25.1822][10.0381,-25.3125|10.0299,-25.2736][8.8102,-25.1369|8.78297,-25.0776][15.5481,-24.865|15.5407,-24.8078][9.90715,-24.7105|9.88956,-24.6384][12.0173,-24.7163|12.0155,-24.6405]
x= 0.435178 y= 0.140576 yaw= -0.226111 dt= 0.0345755[4.35739,-4.76387|4.03375,-4.40125][9.45228,-25.4144|9.42312,-25.4083][8.78874,-25.2984|8.754,-25.2926][12.4915,-25.3246|12.4975,-25.3166][9.11226,-25.1822|9.07888,-25.1742][10.0299,-25.2736|10.0108,-25.2729][15.7364,-25.1102|15.7121,-25.089][8.78297,-25.0776|8.74627,-25.0727][15.5407,-24.8078|15.5238,-24.7882][9.88956,-24.6384|9.86447,-24.6172]
x= 0.516363 y= 0.166143 yaw= -0.291571 dt= 0.0344074[4.03375,-4.40125|4.35679,-4.76107][9.42312,-25.4083|9.39689,-25.5006][8.754,-25.2926|8.71166,-25.3835][12.4975,-25.3166|12.5404,-25.4044][9.07888,-25.1742|9.04369,-25.2625][10.0108,-25.2729|10.0024,-25.3879][15.7121,-25.089|15.7037,-25.1569][8.74627,-25.0727|8.70243,-25.1637][8.5272,-10.6327|19.9967,-24.9858][15.5238,-24.7882|15.5226,-24.8586]
x= 0.537673 y= 0.16247 yaw= -0.353221 dt= 0.034199[4.35679,-4.76107|4.632,-5.04756][9.39689,-25.5006|9.34984,-25.4747][8.71166,-25.3835|8.65811,-25.3537][12.5404,-25.4044|12.5448,-25.3742][9.04369,-25.2625|8.99889,-25.2263][10.0024,-25.3879|9.97627,-25.3664][15.7037,-25.1569|15.6749,-25.1112][8.70243,-25.1637|8.64668,-25.1321][19.9967,-24.9858|19.9683,-24.9346][15.5226,-24.8586|15.4927,-24.8221]
x= 0.630634 y= 0.193337 yaw= -0.436488 dt= 0.0339904[4.632,-5.04756|4.62461,-5.05068][9.34984,-25.4747|9.29534,-25.5205][8.65811,-25.3537|8.58466,-25.3945][12.5448,-25.3742|12.5454,-25.422][8.99889,-25.2263|8.92895,-25.2675][9.97627,-25.3664|9.9314,-25.4173][15.6749,-25.1112|15.6275,-25.1505][8.64668,-25.1321|8.57263,-25.1704][19.9683,-24.9346|19.9263,-24.966][15.4927,-24.8221|15.4549,-24.8607]
x= 0.645704 y= 0.18474 yaw= -0.341821 dt= 0.033927[8.57263,-25.1704|8.55704,-25.4778][19.9263,-24.966|19.9589,-25.2237][15.4549,-24.8607|15.4748,-25.1808][9.73946,-24.6729|9.74291,-24.9834][11.9571,-24.7021|12.0063,-25.0345][8.59311,-24.5528|8.58832,-24.8565][11.1451,-24.5622|11.168,-24.8762][9.61588,-24.297|9.62059,-24.5971][13.2546,-24.3391|13.289,-24.6447][16.8035,-24.293|16.845,-24.568]
x= 0.802624 y= 0.230557 yaw= -0.370116 dt= 0.0337265[19.9589,-25.2237|20.0467,-25.4252][15.4748,-25.1808|15.5751,-25.3849][9.74291,-24.9834|9.80701,-25.1959][12.0063,-25.0345|12.0913,-25.2331][8.58832,-24.8565|8.65963,-25.0807][11.168,-24.8762|11.2535,-25.08][9.62059,-24.5971|9.6859,-24.8012][13.289,-24.6447|13.3865,-24.8472][16.845,-24.568|16.9444,-24.763][8.46276,-24.4666|8.52346,-24.6739]
